2026-01-15 17:36:47,373 - [2025-12-15] UAMY | HOLD | 信:50 | 趋势走平，价格位于箱体底部附近，威廉指标超卖但无明确共振信号
2026-01-15 17:36:51,327 - [2025-12-15] LPTH | HOLD | 信:65 | 20日线走平，价格位于箱体中位，技术指标普遍中性且无共振信号
2026-01-15 17:36:54,859 - [2025-12-15] POET | HOLD | 信:65 | 20日线走平，价格位于箱体中位，技术指标中性且无明显共振信号
2026-01-15 17:36:59,678 - [2025-12-15] BKKT | BUY | 信:65 | 处于震荡期底部，且出现RSI低位、威廉WR超卖的多指标超卖共振
2026-01-15 17:37:04,255 - [2025-12-15] LUNR | HOLD | 信:65 | 20日线走平，价格位于箱体中上部，无明显共振信号，符合震荡期特征
2026-01-15 17:37:07,794 - [2025-12-15] UMAC | HOLD | 信:60 | 20日线走平，价格位于箱体中下部，技术指标普遍中性且无共振信号
2026-01-15 17:37:11,908 - [2025-12-15] MSTR | HOLD | 信:65 | 20日线走平，价格位于箱体内部，威廉指标超卖但无明确底部共振信号
2026-01-15 17:37:16,228 - [2025-12-15] VKTX | HOLD | 信:65 | 20日线走平，价格位于箱体中下部，技术指标中性且无共振信号
2026-01-15 17:37:21,022 - [2025-12-15] CLSK | HOLD | 信:60 | 20日线走平，价格位于箱体中下部，技术指标中性且无共振信号
2026-01-15 17:37:26,834 - [2025-12-15] EWTX | HOLD | 信:65 | 20日线走平，价格处于箱体中位，KDJ金叉但动量共振信号不强，未满足明确的左侧博弈买入条件。
2026-01-15 17:37:30,574 - [2025-12-15] RDW | HOLD | 信:65 | 20日线走平，价格位于箱体中上部，技术指标无共振信号，KDJ死叉提示短期调整
2026-01-15 17:37:34,685 - [2025-12-15] USAR | HOLD | 信:60 | 20日线走平，价格位于箱体中位，无明显多空共振信号
2026-01-15 17:37:39,678 - [2025-12-15] TGB | HOLD | 信:65 | 20日线走平，价格在箱体内部，RSI与威廉指标显示超买，但资金强度一般且无底部共振信号
2026-01-15 17:37:43,576 - [2025-12-15] SOC | HOLD | 信:65 | 20日线走平，价格在箱体中部，无明显共振信号，符合震荡期特征。
2026-01-15 17:37:47,278 - [2025-12-15] ORIC | BUY | 信:65 | 处于震荡期底部，且出现超卖共振（RSI低位+WR超卖）
2026-01-15 17:37:51,369 - [2025-12-15] PCT | HOLD | 信:65 | 20日线走平，价格位于箱体内部，威廉指标超卖但未形成底部共振信号
2026-01-15 17:37:55,954 - [2025-12-15] ERAS | HOLD | 信:65 | 20日线走平，价格在箱体内部，KDJ死叉且WR中性，未出现明确的底部共振信号。
2026-01-15 17:38:01,048 - [2025-12-15] UEC | HOLD | 信:60 | 20日线走平，价格位于箱体中位，技术指标普遍中性且无共振信号
2026-01-15 17:38:04,702 - [2025-12-15] INFY | HOLD | 信:60 | 20日线走平，价格在箱体中部，技术指标中性且无共振信号
2026-01-15 17:38:08,534 - [2025-12-15] MP | HOLD | 信:65 | 趋势走平，价格位于箱体底部附近，威廉指标超卖但未形成多指标共振
2026-01-15 17:38:12,220 - [2025-12-16] UAMY | HOLD | 信:60 | 趋势走平，价格位于箱体底部附近，威廉指标超卖但无明确共振信号
2026-01-15 17:38:17,553 - [2025-12-16] LPTH | HOLD | 信:50 | 20日线走平，价格位于箱体中部，技术指标中性且无明显共振信号
2026-01-15 17:38:30,016 - [2025-12-16] POET | HOLD | 信:60 | 20日线走平，价格位于箱体中上部，无明显技术指标共振
2026-01-15 17:38:34,709 - [2025-12-16] LUNR | HOLD | 信:55 | 20日线走平，价格在箱体中位，技术指标中性且无共振信号，符合震荡期特征。
2026-01-15 17:38:38,702 - [2025-12-16] UMAC | HOLD | 信:65 | 20日线走平，价格位于箱体中位，技术指标中性且无共振信号，符合震荡期特征。
2026-01-15 17:38:42,678 - [2025-12-16] MSTR | HOLD | 信:60 | 20日线走平，价格位于箱体内部，技术指标呈中性且无明显共振信号
2026-01-15 17:38:46,819 - [2025-12-16] VKTX | HOLD | 信:65 | 趋势走平，价格位于箱体中下部，技术指标中性且无共振信号，资金强度偏弱
2026-01-15 17:38:50,550 - [2025-12-16] CLSK | HOLD | 信:60 | 20日线走平，价格位于箱体中下部，技术指标无明确共振信号
2026-01-15 17:38:56,160 - [2025-12-16] EWTX | HOLD | 信:60 | 20日线走平，价格位于箱体内部，KDJ死叉且无明显共振信号，暂不符合左侧博弈的明确买入条件。
2026-01-15 17:39:00,411 - [2025-12-16] RDW | HOLD | 信:60 | 20日线走平，价格位于箱体中位，技术指标中性且无共振信号，符合震荡期特征。
2026-01-15 17:39:04,686 - [2025-12-16] USAR | HOLD | 信:55 | 20日线走平，价格位于箱体中位，技术指标中性且无共振信号
2026-01-15 17:39:10,797 - [2025-12-16] TGB | HOLD | 信:50 | 20日线走平，价格在箱体内部波动，技术指标中性且无共振信号
2026-01-15 17:39:14,733 - [2025-12-16] SOC | HOLD | 信:60 | 20日线走平，价格位于箱体中位，技术指标普遍中性且无共振信号
2026-01-15 17:39:19,646 - [2025-12-16] PCT | HOLD | 信:55 | 20日线走平，价格位于箱体内部，威廉指标超卖但无明确共振信号
2026-01-15 17:39:24,909 - [2025-12-16] ERAS | HOLD | 信:65 | 20日线走平，价格位于箱体中上部，技术指标中性，资金强度尚可但未形成突破共振
2026-01-15 17:39:28,738 - [2025-12-16] UEC | HOLD | 信:60 | 20日线走平，价格位于箱体中下部，威廉指标超卖但无明确共振信号
2026-01-15 17:39:33,186 - [2025-12-16] INFY | HOLD | 信:65 | 20日线走平，价格在箱体内部波动，技术指标呈中性且无明显共振信号
2026-01-15 17:39:36,910 - [2025-12-16] MP | BUY | 信:65 | 处于震荡期底部，且出现威廉WR超卖与信号共振
