2026-01-15 17:46:33,016 - [2025-12-16] 00981 | HOLD | 信:60 | 20日线走平，价格位于箱体内部，技术指标显示超卖但无明确共振信号
2026-01-15 17:46:38,804 - [2025-12-16] 02318 | HOLD | 信:65 | 20日线走平，价格位于箱体中上部，技术指标中性，均线多头但缺乏明确方向信号
2026-01-15 17:46:42,893 - [2025-12-16] 01347 | HOLD | 信:55 | 趋势走平，价格位于箱体下部，威廉指标超卖但无明确共振信号
2026-01-15 17:46:46,388 - [2025-12-16] 00883 | BUY | 信:65 | 趋势走平，价格处于箱体低位，且出现威廉WR超卖与信号共振
2026-01-15 17:46:52,003 - [2025-12-16] 01211 | BUY | 信:65 | 20日线走平，价格位于箱体内部（相对位置24.6%），且出现超卖共振（RSI低位、威廉WR超卖、KDJ低位），符合震荡期左侧博弈条件。
2026-01-15 17:46:55,874 - [2025-12-16] 00939 | BUY | 信:65 | 处于震荡期底部，且出现RSI低位、威廉WR超卖的多指标共振
2026-01-15 17:46:59,705 - [2025-12-16] 02562 | BUY | 信:65 | 处于震荡期底部，且出现RSI低位、威廉WR超卖的多指标共振
2026-01-15 17:47:04,672 - [2025-12-16] 01772 | HOLD | 信:65 | 20日线走平，价格位于箱体内部，技术指标无明确共振信号，符合震荡期特征。
2026-01-15 17:47:08,416 - [2025-12-16] 03939 | HOLD | 信:60 | 20日线走平，价格位于箱体内部，威廉指标超卖但无明确共振信号
2026-01-15 17:47:24,674 - [2025-12-16] 00358 | HOLD | 信:60 | 20日线走平，价格在箱体中部，技术指标中性且无明显共振信号
2026-01-15 17:47:29,943 - [2025-12-16] 01398 | BUY | 信:65 | 处于震荡期底部，且出现RSI、威廉WR超卖共振
2026-01-15 17:47:33,610 - [2025-12-16] 00175 | HOLD | 信:55 | 20日线走平，价格位于箱体内部，威廉指标进入超卖区但无明确共振信号
2026-01-15 17:47:37,807 - [2025-12-16] 09660 | HOLD | 信:65 | 20日线走平，价格位于箱体中上部，技术指标中性且无明显共振信号，符合震荡期特征。
2026-01-15 17:47:41,408 - [2025-12-16] 02382 | HOLD | 信:60 | 20日线走平，价格位于箱体中部，技术指标中性且无共振信号
2026-01-15 17:47:44,832 - [2025-12-16] 00027 | BUY | 信:65 | 处于震荡期底部，且出现威廉WR超卖与信号共振
2026-01-15 17:47:48,070 - [2025-12-16] 06869 | HOLD | 信:60 | 20日线走平，价格位于箱体中部，技术指标无明确共振信号
2026-01-15 17:47:51,327 - [2025-12-16] 01109 | BUY | 信:65 | 处于震荡期底部，且出现RSI低位、WR超卖的多指标超卖共振
2026-01-15 17:47:55,190 - [2025-12-16] 02313 | BUY | 信:65 | 处于震荡期底部，且出现超卖共振(RSI低位+WR超卖)
2026-01-15 17:47:59,725 - [2025-12-16] 02577 | HOLD | 信:60 | 20日线走平，价格在箱体内部相对低位，威廉指标超卖但无明确共振信号
2026-01-15 17:48:04,645 - [2025-12-16] 01336 | HOLD | 信:60 | 20日线走平，价格在箱体内部波动，技术指标呈中性，未出现明确的底部共振信号。
